@relation ant3_1

@attribute f1 numeric 
@attribute f2 numeric 
@attribute f3 numeric 
@attribute f4 numeric 
@attribute f5 numeric 
@attribute f6 numeric 
@attribute f7 numeric 
@attribute f8 numeric 
@attribute f9 numeric 
@attribute target {U, D, L, R} 

@data
-5,-5,-5,1,0,0,0,-1,-1,L
0,1,-5,1,0,-5,0,0,-5,L
-5,-1,-1,-5,0,0,-5,0,0,R
-5,0,-1,-5,0,-1,-5,1,0,D
0,1,0,1,0,0,0,0,1,L
-5,-5,-5,-1,0,-5,1,0,-5,D
1,0,-5,1,0,-5,0,1,-5,D
-1,-1,-5,0,0,-5,1,0,-5,L
0,1,0,-1,0,1,-5,-5,-5,R
-1,0,-5,-1,0,-5,-5,-5,-5,U
-1,0,0,-1,0,1,-5,-5,-5,R
-5,-5,-5,0,0,1,0,1,1,R
-5,-5,-5,-1,0,0,0,0,0,R
0,1,-5,0,0,-5,1,0,-5,U
0,0,-5,0,0,-5,-5,-5,-5,L
0,0,1,-1,0,0,-5,-5,-5,R
0,-1,0,1,0,0,0,1,0,L
-5,-5,-5,1,0,0,0,0,1,L
1,1,-5,-1,0,-5,-5,-5,-5,U
0,0,1,-1,0,1,-5,-5,-5,R
0,1,0,-1,0,1,-1,-1,0,R
-5,0,0,-5,0,1,-5,-5,-5,R
1,1,0,0,0,0,-5,-5,-5,U
-5,-5,-5,0,0,1,0,-1,0,R
-5,-5,-5,-1,0,1,0,0,0,R
0,0,1,0,0,-1,-5,-5,-5,U
0,-1,-1,0,0,1,0,0,0,R
0,0,0,1,0,0,1,0,1,L
-1,-1,0,0,0,0,1,1,0,D
-5,-1,0,-5,0,1,-5,0,1,R
-5,-5,-5,-1,0,1,-1,-1,0,R
-5,-5,-5,0,0,-5,1,0,-5,L
0,-1,-1,1,0,-1,0,0,0,L
-5,1,0,-5,0,1,-5,-1,0,R
-5,-1,-1,-5,0,0,-5,1,0,D
1,0,-5,1,0,-5,-1,-1,-5,L
0,1,0,-1,0,1,0,0,1,U
0,0,-5,-1,0,-5,-5,-5,-5,U
-5,0,1,-5,0,0,-5,0,0,R
-5,-5,-5,-1,0,1,-1,-1,-1,R
-1,0,0,-1,0,0,0,1,0,D
-1,-1,-5,0,0,-5,0,0,-5,L
-5,-5,-5,1,0,-5,0,1,-5,L
-5,1,0,-5,0,-1,-5,-5,-5,U
-5,-5,-5,0,0,0,1,0,1,L
-5,-5,-5,-5,0,0,-5,1,0,D
0,1,1,1,0,0,-5,-5,-5,L
-5,-1,-1,-5,0,1,-5,0,1,R
0,0,0,-1,0,1,-1,-1,0,R
-5,0,0,-5,0,1,-5,-1,0,R
-5,-5,-5,0,0,-5,0,1,-5,D
1,0,0,0,0,0,1,0,1,R
-5,-5,-5,1,0,-1,0,-1,-1,L
-5,0,-1,-5,0,-1,-5,0,1,D
