f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,target
-5,-5,-5,-5,-5,-5,1,0,1,-5,-5,0,0,1,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,right
-5,-5,-5,-5,-5,1,0,1,-5,-5,0,-1,0,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0,-5,-5,0,-1,-1,-5,-5,0,0,0,-5,-5,left
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-1,-5,-5,0,-1,-1,-5,-5,0,0,0,-5,left
-5,-5,-5,-5,-5,0,1,0,-5,-5,1,0,0,-5,-5,0,1,0,-5,-5,-5,-5,-5,-5,-5,left
-5,-5,-5,-5,-5,-5,0,1,0,-5,-5,1,0,-1,-5,-5,0,1,0,-5,-5,-5,-5,-5,-5,down
-5,0,1,0,-5,-5,1,-1,-1,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,left
-5,-5,0,1,0,-5,-5,1,-1,-1,-5,-5,0,-1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,0,1,0,-5,-5,0,-1,-1,-5,-5,-1,-1,0,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,1,0,-5,-5,-1,-1,-1,-5,-5,-1,-1,0,right
-5,-5,0,1,0,-5,-5,0,1,1,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,right
-5,0,1,0,-5,-5,0,1,1,-5,-5,-1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,0,1,0,-5,-5,0,0,1,-5,-5,-1,-1,0,-5,-5,-5,-5,-5,-5,right
-5,-5,-5,-5,-5,0,1,0,-5,-5,0,-1,0,-5,-5,-1,-1,0,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,1,0,-5,-5,0,-1,-1,-5,-5,-1,-1,0,-5,-5,left
-5,-5,-5,-5,-5,-5,1,0,0,-5,-5,1,0,1,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,right
-5,-5,-5,-5,-5,1,0,0,-5,-5,1,-1,0,-5,-5,0,0,0,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0,-5,-5,1,-1,-1,-5,-5,0,0,0,-5,-5,left
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-1,-5,-5,1,-1,-1,-5,-5,0,0,0,-5,left
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-1,-1,-5,-5,1,-1,-1,-5,-5,0,0,0,down
-5,-5,-5,-5,-5,0,0,1,-5,-5,1,0,0,-5,-5,0,1,0,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,-5,-5,1,0,-1,-5,-5,0,1,0,-5,-5,left
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,-1,-5,-5,1,0,-1,-5,-5,0,1,0,-5,left
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-1,-1,-5,-5,1,0,-1,-5,-5,0,1,0,down
-5,-5,-5,-5,-5,-5,-5,-1,-1,-1,-5,-5,0,0,-1,-5,-5,0,1,0,-5,-5,-5,-5,-5,right
-5,-5,-5,-5,-5,-5,-1,-1,-1,-5,-5,-1,0,-1,-5,-5,0,1,0,-5,-5,-5,-5,-5,-5,down
-5,1,0,0,-5,-5,0,1,0,-5,-5,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,left
-5,-5,1,0,0,-5,-5,0,1,0,-5,-5,0,-1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,1,0,0,-5,-5,0,1,0,-5,-5,-1,-1,0,-5,-5,-5,-5,-5,right
-5,-5,-5,-5,-5,-5,1,0,0,-5,-5,-1,0,0,-5,-5,-1,-1,0,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0,-5,-5,-1,-1,0,-5,-5,-1,-1,0,-5,left
-5,-5,-5,-5,-5,-5,0,1,0,-5,-5,0,0,1,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,-5,-5,0,-1,1,-5,-5,0,0,1,-5,right
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-1,0,-5,-5,0,-1,1,-5,-5,0,0,1,-5,-5,down
-5,-5,-5,-5,-5,0,-1,-1,-5,-5,0,-1,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,-5,down
-5,-5,-5,-5,-5,-5,1,0,1,-5,-5,0,0,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,left
-5,-5,-5,-5,-5,-5,-5,1,0,1,-5,-5,0,-1,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,1,-5,-5,-1,-1,0,-5,-5,0,0,1,right
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1,0,1,-5,-5,-1,-1,0,-5,-5,0,0,1,-5,right
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1,-1,0,-5,-5,-1,-1,0,-5,-5,0,0,1,-5,-5,down
-5,-5,-5,-5,-5,-1,-1,-1,-5,-5,-1,-1,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,-5,down
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,-5,-5,0,1,0,-5,-5,1,0,1,right
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1,0,0,-5,-5,0,1,0,-5,-5,1,0,1,-5,down
-5,-5,-5,-5,-5,-5,-1,-1,0,-5,-5,0,0,0,-5,-5,1,0,1,-5,-5,-5,-5,-5,-5,right
-5,-5,-5,-5,-5,-1,-1,0,-5,-5,0,-1,0,-5,-5,1,0,1,-5,-5,-5,-5,-5,-5,-5,down
-1,-1,0,-5,-5,0,-1,-1,-5,-5,1,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,left
-5,-1,-1,0,-5,-5,0,-1,-1,-5,-5,1,0,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,left
-5,-5,-5,-5,-5,-5,0,0,1,-5,-5,1,0,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,left
-5,-5,-5,-5,-5,-5,-5,0,0,1,-5,-5,0,-1,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,down
-5,-5,0,0,1,-5,-5,-1,-1,0,-5,-5,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,right
-5,0,0,1,-5,-5,-1,-1,0,-5,-5,-1,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,right
0,0,1,-5,-5,-1,-1,0,-5,-5,-1,-1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,up
-5,-5,-5,-5,-5,0,0,1,-5,-5,-1,-1,0,-5,-5,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,up
