f1,f2,f3,f4,f5,f6,f7,f8,f9,target
-5,-5,-5,0,0,0,1,1,0,down
0,-1,0,1,0,0,1,0,0,left
-5,0,-1,-5,0,-1,-5,1,0,down
1,1,-5,0,0,-5,0,1,-5,down
0,-1,-5,0,0,-5,-5,-5,-5,left
0,0,-1,0,0,-1,-5,-5,-5,up
0,1,1,0,0,-1,0,-1,-1,up
-5,-5,-5,0,0,1,0,-1,-1,right
0,1,0,0,0,1,0,1,0,down
0,-1,1,0,0,0,-5,-5,-5,right
-1,1,-5,-1,0,-5,-5,-5,-5,up
1,0,-5,-1,0,-5,-1,-1,-5,up
-5,-5,-5,1,0,-5,-1,-1,-5,left
1,0,1,0,0,0,-5,-5,-5,left
-5,1,0,-5,0,-1,-5,-5,-5,up
-5,0,0,-5,0,0,-5,-1,-1,right
0,0,1,-1,0,1,-1,-1,0,right
0,1,-5,-1,0,-5,-1,0,-5,up
-5,-5,-5,1,0,1,0,0,1,right
-5,-5,-5,-1,0,-5,0,1,-5,down
-1,-1,-5,0,0,-5,0,0,-5,left
1,-1,-1,0,0,-1,0,0,0,left
-5,1,-1,-5,0,-1,-5,0,0,up
-5,1,0,-5,0,0,-5,0,1,up
-5,-5,-5,-5,0,0,-5,-1,0,right
-5,-5,-5,-1,0,1,-1,0,0,right
-5,-5,-5,-1,0,-5,0,0,-5,down
-1,-1,-5,0,0,-5,1,0,-5,left
-1,-1,-1,-1,0,-1,0,1,0,down
-5,-5,-5,-5,0,0,-5,0,0,right
-5,-5,-5,-1,0,1,0,0,0,right
-5,-5,-5,-1,0,-5,0,0,-5,down
-1,-1,-5,0,0,-5,1,0,-5,left
-1,-1,-1,0,0,-1,1,1,0,down
0,-1,-1,1,0,0,-5,-5,-5,left
-5,-5,-5,-5,0,0,-5,1,0,down
-5,-1,0,-5,0,0,-5,0,1,right
-1,0,1,-1,0,0,0,1,0,down
-1,-1,0,0,0,0,-5,-5,-5,right
-1,0,-5,-1,0,-5,-5,-5,-5,up
0,1,-5,-1,0,-5,-1,-1,-5,up
-5,-5,-5,0,0,-5,1,0,-5,left
-5,-5,-5,0,0,-1,1,1,0,down
0,-1,-1,1,0,0,0,1,0,left
-5,0,-1,-5,0,-1,-5,0,1,down
-5,-1,-1,-5,0,1,-5,-5,-5,right
1,0,0,1,0,0,-5,-5,-5,left
-5,1,0,-5,0,-1,-5,-5,-5,up
-5,1,0,-5,0,0,-5,-1,-1,up
-5,1,0,-5,0,0,-5,-5,-5,up
-5,1,0,-5,0,0,-5,-1,0,up
-5,-5,-5,-5,0,0,-5,-1,0,right
-5,-5,-5,-1,0,0,-1,0,0,right
-5,-5,-5,-1,0,-5,0,0,-5,down
-1,-1,-5,0,0,-5,0,1,-5,down
-5,1,1,-5,0,0,-5,-5,-5,up
-5,0,0,-5,0,1,-5,-1,0,right
0,0,0,-1,0,1,-1,0,0,right
-5,0,1,-5,0,1,-5,0,1,down
-5,-1,1,-5,0,1,-5,-5,-5,right
-1,1,0,-1,0,0,-5,-5,-5,up
0,1,0,-1,0,0,-1,-1,0,up
-5,1,1,-5,0,1,-5,0,0,right
1,1,0,-1,0,0,0,0,0,up
-5,-5,-5,1,0,0,-1,-1,0,left
0,0,-5,1,0,-5,-5,-5,-5,left
0,0,0,0,0,-1,-5,-5,-5,left
-5,0,0,-5,0,-1,-5,-5,-5,up
-5,1,0,-5,0,0,-5,-1,-1,up
-5,-5,-5,-5,0,0,-5,-1,0,right
-5,-5,-5,-1,0,1,-1,0,0,right
1,1,0,0,0,0,0,0,1,up
-5,-5,-5,1,0,0,0,-1,0,left
-5,-5,-5,-5,0,-1,-5,0,-1,down
-5,-1,-1,-5,0,-1,-5,0,0,down
-5,-1,-1,-5,0,0,-5,-5,-5,right
-1,-1,0,-1,0,1,-5,-5,-5,right
0,1,-5,0,0,-5,0,1,-5,down
